Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
Surveyor Lokasi ( Freelance ),Bakso Rusuk Samanhudi,Jakarta Raya,Rp3.000.000 – Rp4.000.000 per month,Real Estat & Properti,Lainnya,"Komisi, Transport",462024-03-13,Paruh waktu,"Bakso Rusuk Samanhudi Membuka lowongan kerja sebagai Surveyor Lokasi Freelance  ( sistem komisi ) untuk kamu yang tertarik bekerja sampingan Deskripsi Pekerjaan :1. Survey lokasi yang strategis untuk pembukaan cabang baru ( Kios / Ruko/ food court) di area Jabodetabek2. Berkoordinasi dengan pemilik tempat usaha / agent property3. Mengumpulkan informasi objek survey berupa foto / video dll Persyaratan1. Usia maksimal 40 tahun2. Pendidikan SMA - SMK / S1 3. Wajib Punya pengalaman sebagai surveyor Lokasi minimal 2 tahun,  surveyor dibidang fnb lebih disukai   ( Bukan surveyor nasabah/surveyor kredit)  4. Punya pengalaman mencari lokasi - lokasi strategis untuk pembukaan cabang baru ( syarat Wajib )5. Memiliki kemampuan komunikasi dan negosiasi yang baik6. Memiliki Motor sendiri dan SIM C aktif7. Menyukai Tugas Lapangan 8. Menguasai area jabodetabek.Tidak memiliki riwayat gangguan kesehatan",https://www.jobstreet.co.id/id/job/74411242?type=standout&ref=search-standalone
Civil Supervisor,PT Teamworx Indonesia,Jakarta Selatan,,Konstruksi,Manajemen,,22 jam yang lalu,Kontrak,"A Civil Supervisor is responsible for supervising and coordinating construction activities at a construction site and ensuring that construction projects are carried out on time and within budget in a safe and quality-oriented manner.A Civil Supervisor entails supervising construction project and ensuring that all activities are carried out in strict adherence to all regulations. Requirements :Minimum Diploma in Civil or ArchitecturalAt least 5 years of working experience in the related field is required for this position.In-depth knowledge of building, construction, and designComputer literate (such as AutoCAD, MS Project, etc)Strong in leadershipRequired languages: Bahasa Indonesia & EnglishPreferably Supervisor/Coordinator specialized in Engineering - Civil/Construction/Structural or equivalentWilling to be located in all area project",https://www.jobstreet.co.id/id/job/74387625?type=standout&ref=search-standalone
Material Planner Admin Staff,COMBIPHAR Group,Padalarang,,"Manufaktur, Transportasi & Logistik","Produksi, Perencanaan & Penjadwalan",,2024-03-06,Full time,"Qualifications & experiencePendidikan minimal D3Penempatan di PadalarangLebih diutamkaan dan disukai apabila memiliki pengalaman minimal 2 Tahun sebagai Material Planner Admin Staff di Perusahaan Industri FarmasiMemiliki pemahaman dan mampu menggunakan MicrosoftTasks & responsibilitiesReporting bulanan, triwulan, dan semester e-wasFollow up release material ke QCMonitoring pemusnahan material dan finished goods non retur",https://www.jobstreet.co.id/id/job/74236746?type=standard&ref=search-standalone
ACCOUNTING EXECUTIVE,PT Faito Racing Development Indonesia,Jakarta Timur,"Rp6,000,000 – Rp9,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,17 jam yang lalu,Full time,"Deskripsi Pekerjaan :Mengawasi transaksi sehari-hari, termasuk hutang/piutang, buku besar, dan rekonsiliasi bank.Memeriksa kelengkapan, melakukan penginputan, merapikan voucher setiap akun bank.Memeriksa rekening koran/ buku tabungan untuk saldo setiap akun bank.Rekonsiliasi dan penyesuaian data.Menyiapkan laporan akuntansi dan memastikan pelaporan bulanan, triwulanan, dan tahunan.Berpartisipasi dalam pemeriksaan pajak.Melakukan penagihan terhadap AR customer.Melakukan stock opname secara rutin. Persyaratan:Usia 30 - 40 tahun.Pendidikan minimal D3/S1 Jurusan Akuntansi, Manajemen Keuangan.Memiliki pengalaman kerja minimal 3 tahun  di bidang Finance, Accounting, Tax.Menguasai tentang siklus akuntansi dan perpajakan di Indonesia.Memahami PPh 21, PPh Final, PPh 23, dan hal lain terkait Pelaporan Pajak (pribadi dan perusahaan).Memiliki Brevet A & B lebih diutamakan.Jujur, bertanggung jawab, berdidikasi tinggi pada pekerjaan, dapat bekerja dalam team, deadline dan dibawah tekanan.Bersedia penempatan di Cakung, Jakarta Timur dan siap bekerja secepatnya.",https://www.jobstreet.co.id/id/job/74396591?type=standout&ref=search-standalone
OPERATOR LIVE STREAMING,PT New Chancing Indonesia,Jakarta Barat,Rp4.000.000 – Rp5.000.000 per month,"Periklanan, Seni & Media",Program & Produksi,"UANG MAKAN, KOMISI, THR",2024-03-11,Full time,"Deskripsi PekerjaanSeorang Operator Live Stream bertanggung jawab untuk mengatur, menjalankan, dan mengawasi siaran langsung (live stream) acara atau kegiatan di platform online. Berikut adalah deskripsi pekerjaan Operator Live StreamBenefit Pekerjaan• Gaji pokok bulanan dan UM• BPJS Ketenagakerjaan• Libur 4 kali dalam satu bulan di hari Senin• Tunjangan Kinerja , Bonus Penjualan dan THR Tugas dan Tanggung Jawab :Mengatur dan mengoperasikan perangkat teknologi seperti kamera, mixer audio, dan software streaming untuk menghasilkan siaran langsung yang berkualitas tinggi.Memastikan koneksi internet stabil dan memantau jaringan untuk memastikan kualitas siaran tidak terganggu.Menyiapkan dan mengatur peralatan teknis seperti kamera, mikrofon, dan lampu untuk menjamin kualitas gambar dan suara yang optimal.Menjalin komunikasi dengan host acara dan tamu untuk memastikan informasi dan jadwal acara terpenuhi.Mengedit rekaman siaran langsung jika diperlukan dan menyimpan rekaman tersebut untuk digunakan kembali di masa depan.Menyediakan dukungan teknis selama acara berlangsung dan menangani masalah teknis yang terjadi selama siaran langsung.Menjalin hubungan baik dengan mitra dan pemangku kepentingan lainnya untuk memastikan kelancaran pelaksanaan acara.Syarat PekerjaanPendidikan minimal SMA atau setara.Memiliki pengalaman dalam mengoperasikan perangkat teknologi seperti kamera, mixer audio, dan software streaming.Memiliki pengetahuan yang baik tentang teknologi streaming dan perangkat lunak yang digunakan dalam siaran langsung.Mampu bekerja di bawah tekanan dan menjaga konsentrasi selama siaran langsung.Memiliki kemampuan berkomunikasi yang baik dengan host acara, tamu, dan mitra lainnya.Mampu bekerja dalam tim dan menyelesaikan tugas dengan deadline yang ketat.Jika Anda tertarik dengan posisi Operator Live Stream, kami mengundang Anda untuk melamar pekerjaan ini dan bergabung dengan tim kami.",https://www.jobstreet.co.id/id/job/74347411?type=standout&ref=search-standalone
Visual Merchandiser (Surabaya),MODENA INDONESIA,Surabaya,,Ritel & Produk Konsumen,Merchandiser,,18 jam yang lalu,Full time,"DESKRIPSI PEKERJAAN:Melakukan kunjungan rutin ke dealer/toko.Melaksanakan dan memastikan kegiatan in-store promotion/ event (pameran/product launching) berjalan sesuai panduan.Memastikan pentaaan display booth dan penggunaan material promosi (POP/Flyer/etc) sesuai dengan panduan.Monitoring implementasi planogram booth sesuai dengan panduan.Menyusun laporan rutin. PERSYARATAN:Pendidikan minimal S1 (semua jurusan), lebih disukai dari jurusan interior design/arsitektur/ design komunikasi visual.Diutamakan memiliki pengalaman sebagai merchandiser minimum 2 tahun.Lebih disukai dari industri consumer goods dan consumer electronics.Memiliki kemampuan komunikasi dan negosiasi yang baik.Kreatif, teliti, dan memiliki analisa yang baik.Mampu mengoperasikan Ms. Office dan Aplikasi Design seperti Adobe Photoshop/Sketchup (penguasaan level basic) dengan baik.Diutamakan memiliki kendaraan pribadi dan memiliki SIM aktif.Bersedia bekerja Senin - Sabtu (Halfday)Penempatan : Surabaya",https://www.jobstreet.co.id/id/job/74393551?type=standard&ref=search-standalone
DELIVERY KURIR SEDATI,PT Global Jet Express,Sedati,,"Manufaktur, Transportasi & Logistik","Produksi, Perencanaan & Penjadwalan",,15 jam yang lalu,Full time,"URGENT.
DI BUTUH KAN SECEPAT NYA KURIR DELIVERY PAKET KHUSUS AREA KECAMATAN SEDATI (J&T EXPRESS). 
1. USIA MAKSIMAL 40 TAHUN
2. SEHAT JASMANI DAN ROHANI
3. BISA BEKERJA SECARA TEAM DAN BERTANGGUNG JAWAB TERHADAP PEKERJAAN
4. MEMILIKI LOYALITAS YANG TINGGI
5. MEMILIKI MOTOR SENDIRI
6. MEMILIKI HP MINIM RAM 4 GB
7. SIM C
SEGERA YA KAKAK BUTUH CEPAT. 
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/74400093?type=standard&ref=search-standalone
Finance Supervisor,PT MTH Global Investama,Jakarta Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,42024-03-13,Full time,Kualifikasi :Usia maksimal 35 Tahun.Pendidikan minimal S1.Pengalaman minimal 3 (tiga) tahun di industri FMCG di bagian Finance.Memiliki kemampuan bekerja dalam sebuah team.Memiliki kemampuan komunikasi yang baik.Bekerja dengan teratur dan rapi.Cepat beradaptasi & berorientasi pada pemecahan masalah.Mampu bekerja dengan schedule dan deadline yang ketat.Berpenampilan representative sesuai standard perusahaan.Dapat bergabung secepatnya merupakan nilai tambah.Deskripsi Pekerjaan :Mengontrol AR dan AP pada PerusahaanMembuat Laporan HarianMelakukan penagihanMelakukan input transaksi keuangan Perusahaan ke dalam sistem,https://www.jobstreet.co.id/id/job/74413305?type=standout&ref=search-standalone
Helper (Gudang Dan pengiriman Barang),TARA GROUP,Petir,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,15 jam yang lalu,Full time,"Membantu staf gudang untuk pengiriman barang
melakukan pengecekan barang yang akan dikirim 
memastikan barang yang di kirim sesuai
membantu driver jika d butuhkan


min. SMK/SMA
usia maks. 30thn
memiliki kemauan untuk belajar

Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 21 March 2024
Gaji yang diinginkan: Rp2,500,000 - Rp3,000,000 per bulan",https://www.jobstreet.co.id/id/job/74400066?type=standard&ref=search-standalone
Visual Merchandiser (Makassar),MODENA INDONESIA,Makassar,,Ritel & Produk Konsumen,Merchandiser,,18 jam yang lalu,Full time,"DESKRIPSI PEKERJAAN:Melakukan kunjungan rutin ke dealer/toko.Melaksanakan dan memastikan kegiatan in-store promotion/ event (pameran/product launching) berjalan sesuai panduan.Memastikan pentaaan display booth dan penggunaan material promosi (POP/Flyer/etc) sesuai dengan panduan.Monitoring implementasi planogram booth sesuai dengan panduan.Menyusun laporan rutin. PERSYARATAN:Pendidikan minimal S1 (semua jurusan), lebih disukai dari jurusan interior design/arsitektur/ design komunikasi visual.Diutamakan memiliki pengalaman sebagai merchandiser minimum 2 tahun.Lebih disukai dari industri consumer goods dan consumer electronics.Memiliki kemampuan komunikasi dan negosiasi yang baik.Kreatif, teliti, dan memiliki analisa yang baik.Mampu mengoperasikan Ms. Office dan Aplikasi Design seperti Adobe Photoshop/Sketchup (penguasaan level basic) dengan baik.Diutamakan memiliki kendaraan pribadi dan memiliki SIM aktif.Bersedia bekerja Senin - Sabtu (Halfday)Penempatan : Makassar",https://www.jobstreet.co.id/id/job/74393566?type=standard&ref=search-standalone
Admin dan GA,Elamu Restaurant,Lombok Tengah,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-06,Full time,Minimum D3Max Age 40Fluent EnglishExperienced at least 1 year,https://www.jobstreet.co.id/id/job/74218079?type=standard&ref=search-standalone
GENERAL AFFAIR STAFF (JAKARTA),PT Nayati Indonesia,Jakarta Pusat,"Rp5,100,000 – Rp6,000,000 per month",Konstruksi,Manajemen,"Competitive salary, benefits and incentive, Comfort working culture and working environment, Career growth",2024-03-08,Full time,"JOB DESCRIPTIONS :Responsible for supporting various office operational needs related to facilities, administration, and asset management.JOB REQUIREMENTS : Candidates must possess at least a Diploma in all majors. Minimum 1 year of experience in General Affairs Staff or building maintenance. Strong in electricity and maintenance. Familiar with working smart, carefully, and deftly.Applicant must be willing to work in Central Jakarta.",https://www.jobstreet.co.id/id/job/74247564?type=standout&ref=search-standalone
Content Creator,PT. STOCKWISE KARYA DIGITAL,Jakarta Raya,,Pemasaran & Komunikasi,Manajemen Brand,,1 jam yang lalu,Full time,Deskripsi Pekerjaan:Membuat konten untuk semua social media (IG / Youtube / Tiktok)⁠Upload konten yang telah dibuat⁠Membuat storybord untuk video youtube⁠Berinteraksi dengan audience di Instagram⁠Memahami cara membuat konten yang menarik⁠Mau menjadi talent video bila sangat diperlukan Kualifikasi :⁠Umur 20 - 30 Tahun⁠Mengikuti & antusias dengan indistri finansial (Saham & Crypto)⁠Memahami semua social media⁠Memiliki kemampuan desain grafis Nilai plus (Tidak Wajib)Memiliki pengalaman minimal 1 tahun,https://www.jobstreet.co.id/id/job/74410465?type=standard&ref=search-standalone
Regulatory Officer dan Penanggung Jawab Teknis (PJT) – Alat Kesehatan,PT. Nusa Asia Medika,Tangerang,,Kesehatan & Medis,Farmasi,"Nusa Asia menawarkan paket gaji dan insentif yang kompetitif, Kesempatan belajar dan berkembang dengan tenaga professional, Continuous Improvement adalah pedoman kami",13 jam yang lalu,Full time,"Nusa Asia Medika (Lokasi Green Lake City, Tangerang) membuka lowongan untuk  Regulatory Officer dan Penanggung Jawab Teknis (PJT) – Medical Device (Alat Kesehatan)  Deskripsi Pekerjaan Regulatory Officer dan Penanggung Jawab Teknis (PJT) : Menjadi Penanggung Jawab Teknis (PJT) perusahaan yang bergerak dalam bidang Alat Kesehatan.Mengikuti perkembangan terbaru dari rangkaian produk Perusahaan. Mendukung pengajuan pendaftaran, Izin Distribusi Alat Kesehatan (IDAK), Izin Edar Alat Kesehatan Luar Negeri, Sertifikasi dan Lisensi CDAKB, Lisensi TKDN, dan perpanjangan dengan tenggat waktu yang ketat untuk memastikan sertifikat produk sesuai dengan kode/ ruang lingkup produk.Aplikasi e-Report untuk Alkes dan distribusi Alkes oleh produsen atau Distributor Alkes.Secara proaktif melacak semua registrasi, menyimpan catatan registrasi, dan mulai aktivitas pembaruan yang tepat untuk memastikan bahwa registrasi saat ini tidak kadaluarsa dan membahayakan penjualan di Indonesia.Mengikuti perkembangan Peraturan Alat Kesehatan dan memberikan panduan kepada tim pengembangan produk terkait data dan informasi yang diperlukan untuk mempersiapkan pendaftaran tersebut.Mendukung inspeksi regulasi oleh badan Regulator/ Badan yang diberitahukan setempat jika diperlukan.Berkoordinasi dengan principals untuk menginformasikan kepada pihak berwenang di Indonesia mengenai perubahan pada produk yang didaftarkan.Melaksanakan tugas-tugas regulasi/ kualitas lainnya yang didelegasikan oleh manajer atau manajemen PT. Nusa Asia Medika.Apabila seluruh kegiatan yang berhubungan dengan Regulatory telah terselesaikan dengan baik, memberikan dukungan untuk aktifitas penjualan dan/atau pemasaran perusahaan. Termasuk di dalamnya adalah untuk membuat Standard Operating Procedure (SOP) perusahaan, memberikan pelatihan/training kepada seluruh karyawan perusahaan atas SOP ini, dan memastikan bahwa SOP berjalan dengan baik. Persyaratan:Memiliki pengalaman kerja minimal 2-3 tahun di bidang Regulatory Affairs untuk produk alat KesehatanMemiliki setidaknya gelar Sarjana Farmasi dari Universitas yang terakreditasiMemiliki kemampuan komunikasi lisan dan tulisan yang sangat baik dengan kemampuan Bahasa inggris yang baikKemampuan untuk bekerja secara mandiri dengan pengawasan minimal, mengatur, memprioritaskan, dan mengelola beberapa proyek secara efektifSikap positif, perhatian yang kuat terhadap detail, dan kemampuan untuk memecahkan masalah secara mandiriPemahaman yang komprehensif tentang kegiatan regulasi dan bagaimana dampaknya terhdap produk dan/atau proses lainnya.Pengetahuan tentang sistem manajemen mutu, kompilasi file teknis, dan persyaratan peraturan perangkat medis Indonesia.",https://www.jobstreet.co.id/id/job/74399051?type=standout&ref=search-standalone
